"","m16_24","m25_34","m35_44","m45_54","m55_64","m65_74","f16_24","f25_34","f35_44","f45_54","f55_64","f65_74","NoCar","allCars","X1.1","X1.2","X2","X3","X4","X5","X6","X7","X8","Other"
"104",869,850,1072,1155,991,818,933,971,1144,1089,995,859,3448,8298,142,314,1475,1129,774,988,2111,2369,687,1755
"105",937,820,999,1082,977,754,902,923,1020,1110,990,803,3518,7799,131,289,1370,1081,716,856,1814,2466,711,1884
"106",733,811,1058,1103,996,715,663,908,1098,1107,1094,816,2384,8718,249,683,2264,1552,956,746,1504,1378,356,1414
"107",838,797,861,1022,851,618,911,851,862,1015,891,640,3223,6934,122,176,1085,904,485,1179,2110,1935,621,1540
"108",890,1000,1245,1184,1022,604,908,1109,1301,1161,965,660,3499,8550,172,440,1869,1377,790,927,1827,2350,543,1755
"109",787,852,1237,1166,1069,736,728,979,1249,1136,1106,820,2628,9237,273,625,2266,1633,1027,924,1675,1539,407,1496
"110",866,995,1249,1195,879,679,857,1056,1247,1099,965,692,3197,8582,183,441,1912,1333,717,1054,2103,1863,572,1600
"111",759,669,882,1099,1044,789,727,746,993,1183,1047,864,2810,7992,248,580,1897,1260,731,851,1688,1518,490,1538
"112",986,1076,1202,1303,1028,795,1011,1097,1231,1247,1051,824,3863,8988,146,316,1562,1197,763,998,1873,3210,747,2037
"113",791,927,1159,1246,1004,632,784,981,1189,1229,970,691,2110,9493,276,729,2399,1622,938,890,1449,1383,366,1552
"114",966,1386,1219,1007,889,491,1019,1286,1029,974,756,504,4809,6717,108,423,1364,957,762,684,1699,2077,1094,2359
"115",845,1426,1401,1287,957,587,907,1169,1062,962,852,559,4319,7695,168,514,1803,1248,816,868,1643,2092,821,2042
"116",788,835,1208,1306,1221,871,865,999,1388,1309,1228,899,1676,11241,380,914,2758,1630,1179,842,1579,1491,440,1704
"117",722,817,885,937,915,644,669,820,867,943,931,698,2594,7254,264,848,1924,1079,704,522,1142,1228,540,1596
"118",872,898,1025,1063,899,619,950,1009,1096,1065,852,677,3997,7028,141,326,1462,1047,679,794,1774,1857,820,2125
"119",744,645,976,1164,1040,702,703,673,1086,1179,1077,780,2076,8693,267,621,2241,1548,868,729,1414,1264,349,1468
"120",1063,1126,1295,1186,1104,801,1008,1133,1323,1255,1135,982,3480,9931,319,798,2496,1490,1005,902,1791,1435,544,2630
"121",822,1064,1356,1424,1141,710,771,1095,1338,1356,1128,728,2597,10336,310,1002,2774,1446,1359,990,1583,1376,379,1714
"122",1166,1330,1337,1150,999,699,1096,1373,1183,1161,993,764,4598,8653,172,572,1654,1160,1011,709,1469,1463,1436,3605
"123",799,762,1166,1273,1159,817,728,782,1239,1306,1223,851,2236,9869,436,1066,2707,1488,1160,759,1378,1093,320,1698
"124",1252,713,1168,1215,1057,743,1175,734,1228,1225,1085,766,1425,10936,429,1046,2581,1202,1112,630,1000,839,222,3300
